,show_id,show_title,brand,union_id,xmin,ymin,xmax,ymax,gender,season,style,category,collar,sleeve,sleeve_type,fabric,contour,clothes_length,technology,texture,accessories,path,done,ori_w,ori_h,ratio,aesthetic,cv_var,cv_lightness,cv_saturation,caption-base,caption-large,face_count,face_loc,face_col,weight,view,look_at_viewer,color_3,color_2,color_1,prompt_image,prompt_clothes,tgt_w,tgt_h
779398,1ebffa19b7fcdf2cd1e2a43d07288ec2,20/21秋冬米兰VI MMXX成衣,VI MMXX,33_bd06bf1f2c0d3c55553620cb972cd73f,0.2206,0.1834,0.8111,0.9478,男装,秋冬,都市,大衣 / 风衣,,,拼接袖,防护功能,A型,长款,无工艺,撞色/渐变,基础拉链,imgs/show_768/7df5f277b922b38eb9f7388f6981ba8c_a18070170f22e30854a4abe0d1924ff9.png,True,1800.0,2546.0,0.71,5.85971212387085,152.1283392626856,183.7495784053096,36.460504602502894,a man in a green vest and brown shorts,a man in a green coat and shorts standing in front of a white wall,1.0,"(184, 361, 298, 248)",2.0,1.0,2.0,False,银鼠尾草色,亮银色,大地色,"a mid-length body view photo , a man in a green vest and brown shorts","Man's Clothes for Autumn and Winter , Urban Style Earth Tone Color Overcoat , L Size , Protection Function Fabric , A-Line Contour , No process Making Technology , Bump / Gradient Texture , Basic Zipper Accessories",768,1152
779399,1ebffa19b7fcdf2cd1e2a43d07288ec2,20/21秋冬米兰VI MMXX成衣,VI MMXX,33_bd06bf1f2c0d3c55553620cb972cd73f,0.3206,0.6536,0.7544,0.9627,男装,秋冬,复古,短裤,,,,提花,A型,短款,印花,宫廷花纹,,imgs/show_768/7df5f277b922b38eb9f7388f6981ba8c_a18070170f22e30854a4abe0d1924ff9.png,True,1800.0,2546.0,0.71,5.85971212387085,152.1283392626856,183.7495784053096,36.460504602502894,a man in a green vest and brown shorts,a man in a green coat and shorts standing in front of a white wall,1.0,"(184, 361, 298, 248)",2.0,1.0,2.0,False,深地衣绿#夜幕色#银鼠尾草色,橄榄石#咖啡色#亮银色,大地色,"a mid-length body view photo , a man in a green vest and brown shorts","Man's Clothes for Autumn and Winter , Retro Style Earth Tone Color Shorts , S Size , Jacquard Fabric , A-Line Contour , Printing Making Technology , Palace Pattern Texture",768,1152
779887,915866e8c2290fcdc12f01bb4814b9de,2022春夏东京disemBySiiK成衣,disemBySiiK,33_979f1805132091cc686d18f80383fec6,0.3594,0.2745,0.645,0.5875,男装,春夏,都市,西服,翻驳领,中长袖,基础袖,正装面料,H型,中款,边缘装饰,条纹/波纹#撞色/渐变,基础扣饰,imgs/show_768/8d6ab9d961d73434c77ab1dfb81b33fd_9b015eba33f60e446ea68ae97cc34b23.png,True,1600.0,2000.0,0.8,5.191289901733398,209.2985782682964,173.17581854926215,22.56390267831308,a man in a suit and hat walking down a sidewalk,arafed male model in a black and white striped shirt and shorts,1.0,"(236, 427, 315, 348)",1.0,1.0,3.0,True,蓝黑色,幽蓝,蓝色,"a full body view photo , a man in a suit and hat walking down a sidewalk , Asian Race , Look_at_viewer","Man's Clothes for Spring and Summer , Urban Style Blue Color Blazer , M Size , Revers Collar , Medium Long Sleeve in Basic Sleeves Type, Suit Fabrics Fabric , H-Line Contour , Edge Decoration Making Technology , Stripe / Ripple & Bump / Gradient Texture , Basic Buckle Accessories",768,1152
779888,915866e8c2290fcdc12f01bb4814b9de,2022春夏东京disemBySiiK成衣,disemBySiiK,33_979f1805132091cc686d18f80383fec6,0.4025,0.5685,0.6019,0.692,男装,春夏,都市,短裤,,,基础袖,化纤,A型,短款,无工艺,纯色,,imgs/show_768/8d6ab9d961d73434c77ab1dfb81b33fd_9b015eba33f60e446ea68ae97cc34b23.png,True,1600.0,2000.0,0.8,5.191289901733398,209.2985782682964,173.17581854926215,22.56390267831308,a man in a suit and hat walking down a sidewalk,arafed male model in a black and white striped shirt and shorts,1.0,"(236, 427, 315, 348)",1.0,1.0,3.0,True,踢踏舞鞋色,深黑,黑白灰,"a full body view photo , a man in a suit and hat walking down a sidewalk , Asian Race , Look_at_viewer","Man's Clothes for Spring and Summer , Urban Style Achromatic Color Shorts , S Size , Chemical Fabric , A-Line Contour , No process Making Technology , Solid Color Texture",768,1152
783949,2e7a940b424051f5fe4914660ba9b2f0,20/21秋冬东京Otoaa成衣,Otoaa,33_d2e40e414f3874b6fc59e328ad68040e,0.3411,0.1971,0.6595,0.4717,女装,秋冬,复古,套衫,立领,中长袖,蝙蝠袖,针织面料,宽松型,中款,无工艺,纯色,,imgs/show_768/3eac82aba83fa1e8a74fcc4ed38d1d19_0c17e266a54165a184d6653b0e32a0ef.png,True,1715.0,2400.0,0.71,5.407963752746582,66.11372770930018,171.4657174569589,40.583092583550346,a woman in a brown sweater and brown skirt,arafed woman in a brown sweater and brown skirt posing for a picture,1.0,"(236, 443, 315, 364)",0.0,1.0,3.0,False,果仁糖色#猎犬色,深牛奶咖啡#可可棕,大地色,"a full body view photo , a woman in a brown sweater and brown skirt , White Race","Women's Clothes for Autumn and Winter , Retro Style Earth Tone Color Pullover , M Size , Stand Collar , Medium Long Sleeve in Bat Sleeves Type, Knit Fabrics Fabric , Loose Contour , No process Making Technology , Solid Color Texture",768,1152
783950,2e7a940b424051f5fe4914660ba9b2f0,20/21秋冬东京Otoaa成衣,Otoaa,33_d2e40e414f3874b6fc59e328ad68040e,0.3155,0.4375,0.6472,0.8229,女装,秋冬,日常休闲,半身裙,,,无袖,棉麻,A型,长款,褶裥,纯色,,imgs/show_768/3eac82aba83fa1e8a74fcc4ed38d1d19_0c17e266a54165a184d6653b0e32a0ef.png,True,1715.0,2400.0,0.71,5.407963752746582,66.11372770930018,171.4657174569589,40.583092583550346,a woman in a brown sweater and brown skirt,arafed woman in a brown sweater and brown skirt posing for a picture,1.0,"(236, 443, 315, 364)",0.0,1.0,3.0,False,僧袍色,可可棕,大地色,"a full body view photo , a woman in a brown sweater and brown skirt , White Race","Women's Clothes for Autumn and Winter , Daily Leisure Style Earth Tone Color Skirt , L Size , Cotton And Linen Fabric , A-Line Contour , Pleat Making Technology , Solid Color Texture",768,1152
786921,a315bb8d770e9760fd1fcbb41d5d7878,2022春夏米兰Shi.Rt成衣,Shi.Rt,33_7b7d16489e1020fd52cba65d3298c127,0.1399,0.2323,0.8827,0.5638,女装,春夏,都市,衬衫,衬衫领,短袖,基础袖,化纤,截短型,短款,无工艺,纯色,基础扣饰,imgs/show_768/5481023242eadc8e3ad195adc51e9c31_ca7276163f3ee5af879e6283207a97d8.png,True,2574.0,3861.0,0.67,5.239279747009277,228.28923080098,104.62505425347224,67.52670514142072,a model walks the runway at the marc marc by marc marc marc marc marc marc marc marc marc,a close up of a woman walking down a runway wearing a pink top and yellow skirt,1.0,"(149, 434, 285, 297)",0.0,1.0,2.0,True,海棠粉#野兰花粉#极光粉,紫香囊色#野兰花色#牵牛花色,粉色,"a mid-length body view photo , a model walks the runway at the marc by marc , White Race , Look_at_viewer","Women's Clothes for Spring and Summer , Urban Style Pink Color Shirt , S Size , Shirt Collar , Short Sleeve in Basic Sleeves Type, Chemical Fabric , Truncated Contour , No process Making Technology , Solid Color Texture , Basic Buckle Accessories",768,1152
786922,a315bb8d770e9760fd1fcbb41d5d7878,2022春夏米兰Shi.Rt成衣,Shi.Rt,33_7b7d16489e1020fd52cba65d3298c127,0.1915,0.5742,0.7265,0.9296,女装,春夏,都市,半身裙,,,无袖,提花,A型,长款,拼接,撞色/渐变,,imgs/show_768/5481023242eadc8e3ad195adc51e9c31_ca7276163f3ee5af879e6283207a97d8.png,True,2574.0,3861.0,0.67,5.239279747009277,228.28923080098,104.62505425347224,67.52670514142072,a model walks the runway at the marc marc by marc marc marc marc marc marc marc marc marc,a close up of a woman walking down a runway wearing a pink top and yellow skirt,1.0,"(149, 434, 285, 297)",0.0,1.0,2.0,True,金凤花色#亮丽黄#亮粉红,金翅雀#亮粉色,黄色#红色,"a mid-length body view photo , a model walks the runway at the marc by marc , White Race , Look_at_viewer","Women's Clothes for Spring and Summer , Urban Style Yellow & Red Color Skirt , L Size , Jacquard Fabric , A-Line Contour , Splicing Making Technology , Bump / Gradient Texture",768,1152
788578,b7b6aee6cfd01ae0d952b033e5704f63,2019春夏纽约Opening Ceremony 开幕式成衣,Opening Ceremony 开幕式,33_fe60ea9c88c92dc3d315c7d91a4a049a,0.1867,0.1864,0.6098,0.8619,女装,春夏,浪漫/淑女,连衣裙,V领,无袖,无袖,,A型,长款,拼接#印花,传统图案#撞色/渐变#碎花,,imgs/show_768/af62e5767f7012a20b2aab5e448a8616_5389b63540c2fb3710223382017ddf52.png,True,2732.0,4098.0,0.67,5.058922290802002,515.7180185325645,110.23202175564236,146.2027508770978,a woman in a dress and sunglasses is standing in front of a curtain,araffe woman in a dress and high heels standing on a yellow carpet,1.0,"(116, 331, 195, 252)",2.0,1.0,3.0,False,夜蓝色,蔷薇辉石,紫色,"a full body view photo , a woman in a dress and sunglasses is standing in front of a curtain","Women's Clothes for Spring and Summer , Romance / Lady Style Purple Color Dress , L Size , V-Neck Collar , Sleeveless , A-Line Contour , Splicing & Printing Making Technology , Traditional Pattern & Bump / Gradient & Flower Print Texture",768,1152
795052,3d83da62e03494fdcd2a02e1d2c1d9d8,18/19秋冬伦敦Natasha Zinko 娜塔莎.金可成衣,Natasha Zinko 娜塔莎.金可,33_1cd17d96c8de6a5d88c1dc783d64e864,0.4109,0.4185,0.6315,0.8342,女装,秋冬,都市,中长裤,,,,牛仔面料,A型,超长款,无工艺,纯色,基础扣饰,imgs/show_768/b861a1016f1a30483952aa200ee2bfb9_28c78844d99365923a980636ea2cb0f1.png,True,2570.0,3861.0,0.67,5.016263008117676,894.0544908061233,76.58514517324942,28.474798131872102,a woman in a plaid coat and white pants,arafed image of a woman walking down a runway wearing a coat,1.0,"(108, 419, 187, 340)",0.0,1.0,3.0,True,气泡白#沙白色,法意白#银白,绿色#大地色,"a full body view photo , a woman in a plaid coat and white pants , White Race , Look_at_viewer","Women's Clothes for Autumn and Winter , Urban Style Green & Earth Tone Color Middle Trousers , XL Size , Denim Fabric , A-Line Contour , No process Making Technology , Solid Color Texture , Basic Buckle Accessories",768,1152
795053,3d83da62e03494fdcd2a02e1d2c1d9d8,18/19秋冬伦敦Natasha Zinko 娜塔莎.金可成衣,Natasha Zinko 娜塔莎.金可,33_1cd17d96c8de6a5d88c1dc783d64e864,0.2837,0.1645,0.7471,0.7954,女装,秋冬,都市,大衣 / 风衣,翻驳领,中长袖,基础袖,呢绒,H型,长款,无工艺,格纹/菱格#撞色/渐变,基础扣饰,imgs/show_768/b861a1016f1a30483952aa200ee2bfb9_28c78844d99365923a980636ea2cb0f1.png,True,2570.0,3861.0,0.67,5.016263008117676,894.0544908061233,76.58514517324942,28.474798131872102,a woman in a plaid coat and white pants,arafed image of a woman walking down a runway wearing a coat,1.0,"(108, 419, 187, 340)",0.0,1.0,3.0,True,气泡白#塔灰色,法意白#复古卡其,绿色#黑白灰,"a full body view photo , a woman in a plaid coat and white pants , White Race , Look_at_viewer","Women's Clothes for Autumn and Winter , Urban Style Green & Achromatic Color Overcoat , L Size , Revers Collar , Medium Long Sleeve in Basic Sleeves Type, Wool Fabric , H-Line Contour , No process Making Technology , Grid / Rhombie & Bump / Gradient Texture , Basic Buckle Accessories",768,1152
795506,b86fab8abb91b964b50a50d30a16e7f6,2019春夏伦敦Natasha Zinko 娜塔莎.金可成衣,Natasha Zinko 娜塔莎.金可,33_6b4749c197d90911bb170d46c979e719,0.2584,0.1753,0.6865,0.5397,女装,春夏,日常休闲,衬衫,翻驳领,短袖,基础袖,棉麻,常规型,中款,印花,植物/花卉,基础扣饰,imgs/show_768/1e276d558d838c4ec1918e587c528c10_601791da37dfcfb590ef4992fda1d1e1.png,True,1997.0,3000.0,0.67,5.079037666320801,881.5800869961121,143.53167385525174,76.26466200086806,a woman walking down a street with a white purse,araffe walking down the street in front of a bus,1.0,"(100, 419, 179, 340)",2.0,1.0,3.0,True,炽白#深蓝黑色,亮白#幽蓝,黑白灰#蓝色,"a full body view photo , a woman walking down a street with a white purse , Look_at_viewer","Women's Clothes for Spring and Summer , Daily Leisure Style Achromatic & Blue Color Shirt , M Size , Revers Collar , Short Sleeve in Basic Sleeves Type, Cotton And Linen Fabric , Conventional Contour , Printing Making Technology , Plants / Flowers Texture , Basic Buckle Accessories",768,1152
795507,b86fab8abb91b964b50a50d30a16e7f6,2019春夏伦敦Natasha Zinko 娜塔莎.金可成衣,Natasha Zinko 娜塔莎.金可,33_6b4749c197d90911bb170d46c979e719,0.361,0.4197,0.637,0.938,女装,春夏,复古,牛仔长裤,,,,牛仔面料,H型,超长款,洗水#磨损破洞#毛边,撞色/渐变,,imgs/show_768/1e276d558d838c4ec1918e587c528c10_601791da37dfcfb590ef4992fda1d1e1.png,True,1997.0,3000.0,0.67,5.079037666320801,881.5800869961121,143.53167385525174,76.26466200086806,a woman walking down a street with a white purse,araffe walking down the street in front of a bus,1.0,"(100, 419, 179, 340)",2.0,1.0,3.0,True,釉蓝色,暗深蓝,蓝色,"a full body view photo , a woman walking down a street with a white purse , Look_at_viewer","Women's Clothes for Spring and Summer , Retro Style Blue Color Denim Pants , XL Size , Denim Fabric , H-Line Contour , Washing Water & Worning & Burr Making Technology , Bump / Gradient Texture",768,1152
795595,ed1bbaf202c3a2fda460e7c30a6cdc23,2020春夏纽约Monica Byrne婚纱礼服,Monica Byrne,33_cf323210c95567af1371e323970bffb0,0.302,0.1686,0.672,0.9717,女装,春夏,家居服,连衣裙,立领,中长袖,基础袖,真丝 / 丝绸,A型,长款,无工艺,纯色,,imgs/show_768/3fe54aece654ce2e1eee8827e7cd6812_07ce560d7259812b1382c0da58180d9f.png,True,2732.0,4098.0,0.67,5.414959907531738,497.41506544354456,59.671399151837385,79.0877764666522,a woman in a blue dress standing on a wooden floor,arafed woman in a blue dress and a hat standing in a room,1.0,"(92, 427, 171, 348)",0.0,1.0,3.0,True,夜蓝色#蓝图色,蔷薇辉石#海军蓝,紫色,"a full body view photo , a woman in a blue dress standing on a wooden floor , White Race , Look_at_viewer","Women's Clothes for Spring and Summer , Leisure Wear Style Purple Color Dress , L Size , Stand Collar , Medium Long Sleeve in Basic Sleeves Type, Silk Fabric , A-Line Contour , No process Making Technology , Solid Color Texture",768,1152
796302,88ea530c33f06885ebabb1806bcbb808,2020春夏伦敦Natasha Zinko 娜塔莎.金可成衣,Natasha Zinko 娜塔莎.金可,33_79402f02289f7fda4010ebba23a9e5d5,0.0322,0.2295,0.9311,0.8594,男装,春夏,工装风,夹克,翻领,中袖,基础袖,化纤,H型,中款,印花,文字图案,基础扣饰#基础拉链,imgs/show_768/a1b8f551132857b14fb043ba17e24f15_b476ca9be37c284d8db8aaef094bf26c.png,True,1365.0,2048.0,0.67,5.216598987579346,128.0747176900516,138.5675127947772,64.927734375,a young man wearing a pink hat and white shirt,arafed man in a pink hat and white shirt on a runway,1.0,"(121, 434, 258, 297)",2.0,1.0,2.0,True,气泡白#沙白色,法意白#银白,绿色#大地色,"a mid-length body view photo , a young man wearing a pink hat and white shirt , Look_at_viewer","Man's Clothes for Spring and Summer , Tooling Style Green & Earth Tone Color Jacket , M Size , Lapel Collar , Middle Sleeve in Basic Sleeves Type, Chemical Fabric , H-Line Contour , Printing Making Technology , Text Pattern Texture , Basic Buckle & Basic Zipper Accessories",768,1152
798601,56e0dcc5e645d9627de478c27e985835,2019春游东京THE KEIJI成衣,THE KEIJI,33_55a22767877b943dc846907bb6358a98,0.3062,0.1658,0.6654,0.6892,女装,春夏,日常休闲,衬衫,衬衫领,超长袖,基础袖,棉麻,H型,长款,无工艺,条纹/波纹,基础扣饰,imgs/show_768/fd78d6a10b2dfcfdbf2e06ae8bab9fbc_f0dee29e3875deaefd562f16a0a2b286.png,True,1796.0,2400.0,0.75,5.015972137451172,827.9104421562683,198.03033447265625,90.73737476490162,a woman in a blue and white striped shirt and white pants,arafed man in a blue and white striped shirt and white pants,1.0,"(76, 379, 155, 300)",0.0,1.0,3.0,True,喷流白,贝壳色,粉色,"a full body view photo , a woman in a blue and white striped shirt and white pants , White Race , Look_at_viewer","Women's Clothes for Spring and Summer , Daily Leisure Style Pink Color Shirt , L Size , Shirt Collar , Super Long Sleeve in Basic Sleeves Type, Cotton And Linen Fabric , H-Line Contour , No process Making Technology , Stripe / Ripple Texture , Basic Buckle Accessories",768,1152
798602,56e0dcc5e645d9627de478c27e985835,2019春游东京THE KEIJI成衣,THE KEIJI,33_55a22767877b943dc846907bb6358a98,0.3586,0.4396,0.6927,0.9462,女装,春夏,日常休闲,中长裤,翻驳领,中长袖,,棉麻,不对称,超长款,无工艺,条纹/波纹,基础扣饰,imgs/show_768/fd78d6a10b2dfcfdbf2e06ae8bab9fbc_f0dee29e3875deaefd562f16a0a2b286.png,True,1796.0,2400.0,0.75,5.015972137451172,827.9104421562683,198.03033447265625,90.73737476490162,a woman in a blue and white striped shirt and white pants,arafed man in a blue and white striped shirt and white pants,1.0,"(76, 379, 155, 300)",0.0,1.0,3.0,True,栀子白#蛋酒色,珠光象牙色,大地色,"a full body view photo , a woman in a blue and white striped shirt and white pants , White Race , Look_at_viewer","Women's Clothes for Spring and Summer , Daily Leisure Style Earth Tone Color Middle Trousers , XL Size , Revers Collar , Cotton And Linen Fabric , Asymmetric Contour , No process Making Technology , Stripe / Ripple Texture , Basic Buckle Accessories",768,1152
804914,fabd2066a8caa7ecafb15efdc6f5077c,2018初秋纽约Elie Saab 艾莉 萨博成衣,Elie Saab 艾莉 萨博,33_0c3e99a22bc6ea3b05ef10881a6f60f6,0.3155,0.2203,0.6565,0.4667,女装,春夏,精致/奢华,西服,翻驳领,中长袖,基础袖,正装面料,H型,无法确定,打结-扭结#手工装饰,植物/花卉#立体花,立体装饰,imgs/show_768/e84ee4b7589f6dec53d7b4844298e878_f50301a6ad0f9a2779d76bb25de9ee4f.png,True,2000.0,3000.0,0.67,5.636920928955078,928.7349095460736,61.94816758897569,159.42829838505497,a woman in a black dress and red scarf,arafed woman in a long dress standing in front of a red wall,1.0,"(180, 451, 259, 372)",2.0,1.0,3.0,False,巧克力棕色,巧克力棕,大地色,"a full body view photo , a woman in a black dress and red scarf","Women's Clothes for Spring and Summer , Refined / Luxurious Style Earth Tone Color Blazer , Revers Collar , Medium Long Sleeve in Basic Sleeves Type, Suit Fabrics Fabric , H-Line Contour , Knot Kink & Handmade Decoration Making Technology , Plants / Flowers & Tridimensional Flower Texture , 3D Decoration Accessories",768,1152
804915,fabd2066a8caa7ecafb15efdc6f5077c,2018初秋纽约Elie Saab 艾莉 萨博成衣,Elie Saab 艾莉 萨博,33_0c3e99a22bc6ea3b05ef10881a6f60f6,0.29,0.2307,0.8115,0.8613,女装,秋冬,民族风,连衣裙,翻领,中长袖,基础袖,,A型,超长款,打结-扭结,植物/花卉#撞色/渐变,,imgs/show_768/e84ee4b7589f6dec53d7b4844298e878_f50301a6ad0f9a2779d76bb25de9ee4f.png,True,2000.0,3000.0,0.67,5.636920928955078,928.7349095460736,61.94816758897569,159.42829838505497,a woman in a black dress and red scarf,arafed woman in a long dress standing in front of a red wall,1.0,"(180, 451, 259, 372)",2.0,1.0,3.0,False,巧克力棕色,巧克力棕,大地色,"a full body view photo , a woman in a black dress and red scarf","Women's Clothes for Autumn and Winter , Ethnic Style Earth Tone Color Dress , XL Size , Lapel Collar , Medium Long Sleeve in Basic Sleeves Type, A-Line Contour , Knot Kink Making Technology , Plants / Flowers & Bump / Gradient Texture",768,1152
806097,511f75f525d034b9c8f4d3cb669177a9,18/19秋冬巴黎Elie Saab 艾莉 萨博成衣,Elie Saab 艾莉 萨博,33_2d1a61065daac91b3108b2c537012a72,0.1385,0.1821,0.9672,0.9925,女装,秋冬,精致/奢华,大衣 / 风衣,翻领,中长袖,披肩袖,呢绒,X型,长款,拼接,纯色,流苏#基础扣饰,imgs/show_768/7c1420270d9799323e536938a8693e7f_d1c796313991463b52ea3b4b879478e6.png,True,2564.0,3861.0,0.66,6.020098686218262,293.57081343026624,88.00232046621817,71.79392722800925,a model walks the runway at the marc marc by marc marc marc marc marc marc marc marc marc,araffe woman in a black coat and a black scarf walking down a runway,1.0,"(115, 419, 229, 305)",0.0,1.0,2.0,True,深绛蓝色,深度蓝,蓝色,"a mid-length body view photo , a model walks the runway at the marc by marc , White Race , Look_at_viewer","Women's Clothes for Autumn and Winter , Refined / Luxurious Style Blue Color Overcoat , L Size , Lapel Collar , Medium Long Sleeve in Shawl Sleeves Type, Wool Fabric , X-Line Contour , Splicing Making Technology , Solid Color Texture , Tassel & Basic Buckle Accessories",768,1152
808535,847ead1497da26cceb674061c110f16c,18/19秋冬纽约LANDLORD成衣,LANDLORD,33_4f6d1ec8a85be443b0a5e65076d0affc,0.0621,0.2347,0.913,0.8803,男装,春夏,性感,西服,翻驳领,中长袖,基础袖,正装面料,H型,中款,无工艺,纯色,基础扣饰#成品腰带,imgs/show_768/174ab499ac0960db1bf96d8cc944a775_0cc367048c1e26b4ea591247f769b05e.png,True,2576.0,3861.0,0.67,5.309604644775391,941.4749688037424,146.14390620478878,108.3297786006221,a model wearing a blue suit and sunglasses on the runway,arafed man with a tattoo on his chest walks down the runway,2.0,"(113, 516, 310, 319)",-1.0,1.0,-1.0,-1,普罗旺斯蓝#远景蓝,天蓝色#银灰蓝,蓝色,a model wearing a blue suit and sunglasses on the runway,"Man's Clothes for Spring and Summer , Sexy Style Blue Color Blazer , M Size , Revers Collar , Medium Long Sleeve in Basic Sleeves Type, Suit Fabrics Fabric , H-Line Contour , No process Making Technology , Solid Color Texture , Basic Buckle & Finished Belt Accessories",768,1152
809177,47e3bc4ac8d4bcdd785c6fa4d99d155f,18/19秋冬孟买Gen Next成衣,Gen Next,33_c450992e7b03ac52cbeeada9acff2a9d,0.2786,0.1819,0.71,0.5971,女装,春夏,都市,西服,翻驳领,中长袖,基础袖,化纤,H型,中款,印花#边缘装饰,植物/花卉,基础扣饰,imgs/show_768/488734bf7b5c4f9bf79ec5010ff169dc_531a27161a849b229d268ef581dfd92a.png,True,700.0,1050.0,0.67,5.726846694946289,446.77275102649935,139.68440755208334,46.01032511393229,a model walks the ramp at the lakm fashion show,a woman walking down a runway wearing a suit and shoes,1.0,"(117, 416, 212, 321)",2.0,1.0,3.0,True,水洗蓝,法意白,绿色,"a full body view photo , a model walks the ramp at the lakm fashion show , Look_at_viewer","Women's Clothes for Spring and Summer , Urban Style Green Color Blazer , M Size , Revers Collar , Medium Long Sleeve in Basic Sleeves Type, Chemical Fabric , H-Line Contour , Printing & Edge Decoration Making Technology , Plants / Flowers Texture , Basic Buckle Accessories",768,1152
809178,47e3bc4ac8d4bcdd785c6fa4d99d155f,18/19秋冬孟买Gen Next成衣,Gen Next,33_c450992e7b03ac52cbeeada9acff2a9d,0.3329,0.5419,0.5914,0.8876,女装,春夏,都市,中长裤,连帽领,中长袖,,化纤,宽松型,长款,印花,植物/花卉,,imgs/show_768/488734bf7b5c4f9bf79ec5010ff169dc_531a27161a849b229d268ef581dfd92a.png,True,700.0,1050.0,0.67,5.726846694946289,446.77275102649935,139.68440755208334,46.01032511393229,a model walks the ramp at the lakm fashion show,a woman walking down a runway wearing a suit and shoes,1.0,"(117, 416, 212, 321)",2.0,1.0,3.0,True,银色#海盗黑#水洗蓝,灰白色#暗影灰#法意白,黑白灰#绿色,"a full body view photo , a model walks the ramp at the lakm fashion show , Look_at_viewer","Women's Clothes for Spring and Summer , Urban Style Achromatic & Green Color Middle Trousers , L Size , Hoodie Collar , Chemical Fabric , Loose Contour , Printing Making Technology , Plants / Flowers Texture",768,1152
812367,c69f5ad713a3cb2d6a0afa371ba7624b,2021春夏东京glamb成衣,glamb,33_78136a806926124eaee8e870e8802fcd,0.3529,0.3525,0.7885,0.7283,男装,春夏,日常休闲,T恤,圆形领,短袖,基础袖,针织面料,H型,中款,印花,文字图案#标志图案,,imgs/show_768/726fbe7c341c08f88320d44c99d239fd_9d4ba81ca248804e823307c27c5afdf4.png,True,1598.0,2400.0,0.67,5.614997863769531,1599.3469379325225,93.36377518265336,50.077563250506365,a man with a skateboard standing in front of a wall,arafed man in a black shirt and hat holding a skateboard,1.0,"(309, 522, 404, 427)",2.0,1.0,2.0,False,轿车黑,深黑,黑白灰,"a mid-length body view photo , a man with a skateboard standing in front of a wall","Man's Clothes for Spring and Summer , Daily Leisure Style Achromatic Color T-Shirt , M Size , Round Neck Collar , Short Sleeve in Basic Sleeves Type, Knit Fabrics Fabric , H-Line Contour , Printing Making Technology , Text Pattern & Logo Texture",768,1152
813794,db1f49c72cad1f611ca2de14d1dd9f64,19/20秋冬纽约Nonie成衣,Nonie,33_4e39dbfd38942e71bf03d942e8f4584d,0.3082,0.1548,0.6837,0.6558,女装,春夏,家居服,连衣裙,圆形领,中长袖,基础袖,棉麻,不对称,长款,打结-扭结,纯色,本布腰带,imgs/show_768/3c843196753f33643f535813cb680036_af9dea82c242767e0590ec2021fd97d7.png,True,1366.0,2048.0,0.67,5.249694347381592,84.97200179752981,184.593258327908,42.18986115632234,a model walks down the runway at the celine fall / winter 2013 show,arafed image of a woman walking down a runway wearing a white top and brown skirt,1.0,"(69, 407, 164, 312)",0.0,1.0,3.0,True,气泡白#香雪球色,法意白#雪白,绿色#大地色,"a full body view photo , a model walks down the runway at the celine fall / winter 2013 show , White Race , Look_at_viewer","Women's Clothes for Spring and Summer , Leisure Wear Style Green & Earth Tone Color Dress , L Size , Round Neck Collar , Medium Long Sleeve in Basic Sleeves Type, Cotton And Linen Fabric , Asymmetric Contour , Knot Kink Making Technology , Solid Color Texture , Belt Of This Cloth Accessories",768,1152
813795,db1f49c72cad1f611ca2de14d1dd9f64,19/20秋冬纽约Nonie成衣,Nonie,33_4e39dbfd38942e71bf03d942e8f4584d,0.325,0.4165,0.6852,0.9634,女装,春夏,家居服,中长裤,翻领,中长袖,,呢绒,O型,超长款,开衩,纯色,,imgs/show_768/3c843196753f33643f535813cb680036_af9dea82c242767e0590ec2021fd97d7.png,True,1366.0,2048.0,0.67,5.249694347381592,84.97200179752981,184.593258327908,42.18986115632234,a model walks down the runway at the celine fall / winter 2013 show,arafed image of a woman walking down a runway wearing a white top and brown skirt,1.0,"(69, 407, 164, 312)",0.0,1.0,3.0,True,玫瑰褐粉#气泡白#杏褐色,苍白灰#法意白#杏褐,粉色#绿色#大地色,"a full body view photo , a model walks down the runway at the celine fall / winter 2013 show , White Race , Look_at_viewer","Women's Clothes for Spring and Summer , Leisure Wear Style Pink & Green & Earth Tone Color Middle Trousers , XL Size , Lapel Collar , Wool Fabric , O-Line Contour , Slit Making Technology , Solid Color Texture",768,1152
814222,d0327b439c58d2ffb60b3e0f88da22dc,2023春夏北京Kimusso成衣,Kimusso,33_2aee0b1e3d9d9e271506886142dd63bd,0.3818,0.4002,0.6149,0.7584,女装,春夏,日常休闲,半身裙,,,无袖,丝绒,不对称,长款,开衩#拼接,纯色,,imgs/show_768/439c8e7a1aea6bcc80f7385052397162_5f03cbde0de5abdf19f0994eef8d5932.png,True,3334.0,5000.0,0.67,5.414636611938477,187.598976409234,52.95516628689237,38.17523306387442,a model walks the runway at the miu show,arafed image of a woman walking down a runway wearing a white shirt and black skirt,1.0,"(172, 435, 251, 356)",1.0,1.0,3.0,False,蓝黑色#炽白,幽蓝#亮白,蓝色#黑白灰,"a full body view photo , a model walks the runway at the miu show , Asian Race","Women's Clothes for Spring and Summer , Daily Leisure Style Blue & Achromatic Color Skirt , L Size , Velvet Fabric , Asymmetric Contour , Slit & Splicing Making Technology , Solid Color Texture",768,1152
